ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity
10920,Internet Explorer,Security Features: Protection From Zone Elevation: Internet Explorer Processes iexplore.exe,Registry,,HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_ZONE_ELEVATION,iexplore.exe,,,,,1,=,Medium
10921,Internet Explorer,Security Features: Protection From Zone Elevation: Internet Explorer Processes explorer.exe,Registry,,HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_ZONE_ELEVATION,explorer.exe,,,,,1,=,Medium
10922,Internet Explorer,Security Features: Protection From Zone Elevation: Internet Explorer Processes (Reserved),Registry,,HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_ZONE_ELEVATION,(Reserved),,,,,1,=,Medium
10923,Internet Explorer,Security Features: Restrict ActiveX Install: Internet Explorer Processes iexplore.exe,Registry,,HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_ACTIVEXINSTALL,iexplore.exe,,,,,1,=,Medium
10924,Internet Explorer,Security Features: Restrict ActiveX Install: Internet Explorer Processes explorer.exe,Registry,,HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_ACTIVEXINSTALL,explorer.exe,,,,,1,=,Medium
10925,Internet Explorer,Security Features: Restrict ActiveX Install: Internet Explorer Processes (Reserved),Registry,,HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_ACTIVEXINSTALL,(Reserved),,,,,1,=,Medium
10926,Internet Explorer,Security Features: Restrict File Download: Internet Explorer Processes iexplore.exe,Registry,,HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_FILEDOWNLOAD,iexplore.exe,,,,,1,=,Medium
10927,Internet Explorer,Security Features: Restrict File Download: Internet Explorer Processes explorer.exe,Registry,,HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_FILEDOWNLOAD,explorer.exe,,,,,1,=,Medium
10928,Internet Explorer,Security Features: Restrict File Download: Internet Explorer Processes (Reserved),Registry,,HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_FILEDOWNLOAD,(Reserved),,,,,1,=,Medium
10929,Internet Explorer,Security Features: Scripted Window Security Restrictions: Internet Explorer Processes iexplore.exe,Registry,,HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_WINDOW_RESTRICTIONS,iexplore.exe,,,,,1,=,Medium
10930,Internet Explorer,Security Features: Scripted Window Security Restrictions: Internet Explorer Processes explorer.exe,Registry,,HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_WINDOW_RESTRICTIONS,explorer.exe,,,,,1,=,Medium
10931,Internet Explorer,Security Features: Scripted Window Security Restrictions: Internet Explorer Processes (Reserved),Registry,,HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_WINDOW_RESTRICTIONS,(Reserved),,,,,1,=,Medium
10950,Microsoft Edge,Configure Password Manager,Registry,,HKLM:\Software\Policies\Microsoft\MicrosoftEdge\Main,FormSuggest Passwords,,,,,no,=,Medium
10951,Microsoft Edge,Configure Windows Defender SmartScreen,Registry,,HKLM:\Software\Policies\Microsoft\MicrosoftEdge\PhishingFilter,EnabledV9,,,,,1,=,Medium
10952,Microsoft Edge,Prevent bypassing Microsoft Defender SmartScreen prompts for files,Registry,,HKLM:\Software\Policies\Microsoft\MicrosoftEdge\PhishingFilter,PreventOverrideAppRepUnknown,,,,,1,=,Medium
10953,Microsoft Edge,Prevent bypassing Microsoft Defender SmartScreen prompts for sites,Registry,,HKLM:\Software\Policies\Microsoft\MicrosoftEdge\PhishingFilter,PreventOverride,,,,,1,=,Medium
10954,Microsoft Edge,Prevent certificate error overrides,Registry,,HKLM:\Software\Policies\Microsoft\MicrosoftEdge\Internet Settings,PreventCertErrorOverrides,,,,,1,=,Medium
10960,Administrative Templates: Windows Components,Remote Desktop Connection Client: Do not allow passwords to be saved,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,DisablePasswordSaving,,,,0,1,=,Medium
10961,Administrative Templates: Windows Components,Remote Desktop Session Host: Device and Resource Redirection: Do not allow drive redirection,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,fDisableCdm,,,,0,1,=,Medium
10962,Administrative Templates: Windows Components,Remote Desktop Session Host: Security: Always prompt for password upon connection,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,fPromptForPassword,,,,0,1,=,Medium
10963,Administrative Templates: Windows Components,Remote Desktop Session Host: Security: Require secure RPC communication,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,fEncryptRPCTraffic,,,,0,1,=,Medium
10964,Administrative Templates: Windows Components,Remote Desktop Session Host: Security: Set client connection encryption level,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,MinEncryptionLevel,,,,0,3,=,Medium
10970,Administrative Templates: Windows Components,RSS Feeds: Prevent downloading of enclosures,Registry,,HKLM:\Software\Policies\Microsoft\Internet Explorer\Feeds,DisableEnclosureDownload,,,,0,1,=,Medium
10971,Administrative Templates: Windows Components,Search: Allow indexing of encrypted files,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\Windows Search,AllowIndexingEncryptedStoresOrItems,,,,1,0,=,Medium
10972,Microsoft Defender Antivirus,Configure detection for potentially unwanted applications,Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender,PUAProtection,,,,0,1,>=,Medium
10973,Microsoft Defender Antivirus,MAPS: Join Microsoft MAPS,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Spynet,SpynetReporting,,,,0,2,=,Medium
10974,Microsoft Defender Antivirus,MAPS: Send file samples when further analysis is required,Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Spynet,SubmitSamplesConsent,,,,,1,=,Medium
10976,Microsoft Defender Antivirus,Scan: Scan removable drives,Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Scan,DisableRemovableDriveScanning,,,,1,0,=,Medium
10977,Microsoft Defender Exploit Guard,Attack Surface Reduction rules,Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR,ExploitGuard_ASR_Rules,,,,0,1,=,Medium
10978,Microsoft Defender Exploit Guard,ASR: Block executable content from email client and webmail (Policy),Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,be9ba2d9-53ea-4cdc-84e5-9b1eeee46550,,,,0,1,=,Medium
10979,Microsoft Defender Exploit Guard,ASR: Block all Office applications from creating child processes (Policy),Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,d4f940ab-401b-4efc-aadc-ad5f3c50688a,,,,0,1,=,Medium
10980,Microsoft Defender Exploit Guard,ASR: Block Office applications from creating executable content (Policy),Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,3b576869-a4ec-4529-8536-b80a7769e899,,,,0,1,=,Medium
10981,Microsoft Defender Exploit Guard,ASR: Block Office applications from injecting code into other processes (Policy),Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84,,,,0,1,=,Medium
10982,Microsoft Defender Exploit Guard,ASR: Block JavaScript or VBScript from launching downloaded executable content (Policy),Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,d3e037e1-3eb8-44c8-a917-57927947596d,,,,0,1,=,Medium
10983,Microsoft Defender Exploit Guard,ASR: Block execution of potentially obfuscated scripts (Policy),Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,5beb7efe-fd9a-4556-801d-275e5ffc04cc,,,,0,1,=,Medium
10984,Microsoft Defender Exploit Guard,ASR: Block Win32 API calls from Office macros (Policy),Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,92e97fa1-2edf-4476-bdd6-9dd0b4dddc7b,,,,0,1,=,Medium
10985,Microsoft Defender Exploit Guard,"ASR: Block executable files from running unless they meet a prevalence, age, or trusted list criterion (Policy)",Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,01443614-cd74-433a-b99e-2ecdc07bfc25,,,,0,0,=,Low
10986,Microsoft Defender Exploit Guard,ASR: Use advanced protection against ransomware (Policy),Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,c1db55ab-c21a-4637-bb3f-a12568109d35,,,,0,1,=,Medium
10987,Microsoft Defender Exploit Guard,ASR: Block credential stealing from the Windows local security authority subsystem (lsass.exe) (Policy),Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,,,,0,1,=,Medium
10988,Microsoft Defender Exploit Guard,ASR: Block process creations originating from PSExec and WMI commands (Policy),Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,d1e49aac-8f56-4280-b9ba-993a6d77406c,,,,0,0,=,Low
10989,Microsoft Defender Exploit Guard,ASR: Block untrusted and unsigned processes that run from USB (Policy),Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,b2b3f03d-6a65-4f7b-a9c7-1c7ef74a9ba4,,,,0,1,=,Medium
10990,Microsoft Defender Exploit Guard,ASR: Block Office communication application from creating child processes (Policy),Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,26190899-1602-49e8-8b27-eb1d0a1ce869,,,,0,1,=,Medium
10991,Microsoft Defender Exploit Guard,ASR: Block Adobe Reader from creating child processes (Policy),Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,,,,0,1,=,Medium
10992,Microsoft Defender Exploit Guard,ASR: Block persistence through WMI event subscription (Policy),Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,e6db77e5-3df2-4cf1-b95a-636979351e5b,,,,0,1,=,Medium
10993,Microsoft Defender Exploit Guard,Network Protection: Prevent users and apps from accessing dangerous websites,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\Network Protection,EnableNetworkProtection,,,,,1,=,Medium
10998,Microsoft Defender Antivirus,MAPS: Configure the 'Block at First Sight' feature,Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Spynet,DisableBlockAtFirstSeen,,,,,0,>=,Medium
10999,Microsoft Defender Antivirus,MpEngine: Select cloud protection level,Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\MpEngine,MpCloudBlockLevel,,,,,2,>=,Medium
11,MSS (Legacy),MSS: (DisableSavePassword) Prevent the dial-up password from being saved,Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\RasMan\Parameters,DisableSavePassword,,,,,1,=,Medium
110,Administrative Templates: Windows Components,Cloud Content: Turn off all Windows spotlight features,Registry,,HKCU:\Software\Policies\Microsoft\Windows\CloudContent,DisableWindowsSpotlightFeatures,,,,0,1,=,Medium
11000,Administrative Templates: Windows Components,Windows Game Recording and Broadcasting: Enables or disables Windows Game Recording and Broadcasting,Registry,,HKLM:\Software\Policies\Microsoft\Windows\GameDVR,AllowGameDVR,,,,1,0,=,Low
11001,Administrative Templates: Windows Components,Windows Ink Workspace: Allow Windows Ink Workspace,Registry,,HKLM:\Software\Policies\Microsoft\WindowsInkWorkspace,AllowWindowsInkWorkspace,,,,1,1,=,Low
11002,Administrative Templates: Windows Components,Windows Installer: Allow user control over installs,Registry,,HKLM:\Software\Policies\Microsoft\Windows\Installer,EnableUserControl,,,,1,0,=,Medium
11003,Administrative Templates: Windows Components,Windows Installer: Always install with elevated privileges,Registry,,HKLM:\Software\Policies\Microsoft\Windows\Installer,AlwaysInstallElevated,,,,0,0,=,Medium
11004,Administrative Templates: Windows Components,Windows Logon Options: Sign-in and lock last interactive user automatically after a restart,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,DisableAutomaticRestartSignOn,,,,0,1,=,Medium
11005,PowerShell,Turn on PowerShell Script Block Logging,Registry,,HKLM:\Software\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging,EnableScriptBlockLogging,,,,0,1,=,Medium
11006,PowerShell,Turn on PowerShell Script Block Logging (Invocation),Registry,,HKLM:\Software\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging,EnableScriptBlockInvocationLogging,,,,0,0,=,Low
11007,Administrative Templates: Windows Components,WinRM Client: Allow Basic authentication,Registry,,HKLM:\Software\Policies\Microsoft\Windows\WinRM\Client,AllowBasic,,,,1,0,=,Medium
11008,Administrative Templates: Windows Components,WinRM Client: Allow unencrypted traffic,Registry,,HKLM:\Software\Policies\Microsoft\Windows\WinRM\Client,AllowUnencryptedTraffic,,,,1,0,=,Medium
11009,Administrative Templates: Windows Components,WinRM Client: Disallow Digest authentication,Registry,,HKLM:\Software\Policies\Microsoft\Windows\WinRM\Client,AllowDigest,,,,1,0,=,Medium
11010,Administrative Templates: Windows Components,WinRM Service: Allow Basic authentication,Registry,,HKLM:\Software\Policies\Microsoft\Windows\WinRM\Service,AllowBasic,,,,1,0,=,Medium
11011,Administrative Templates: Windows Components,WinRM Service: Allow unencrypted traffic,Registry,,HKLM:\Software\Policies\Microsoft\Windows\WinRM\Service,AllowUnencryptedTraffic,,,,1,0,=,Medium
11012,Administrative Templates: Windows Components,WinRM Service: Disallow WinRM from storing RunAs credentials,Registry,,HKLM:\Software\Policies\Microsoft\Windows\WinRM\Service,DisableRunAs,,,,0,1,=,Medium
11013,Microsoft Defender Antivirus,Real-time Protection: Scan all downloaded files and attachments,Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableIOAVProtection,,,,0,0,=,Medium
11014,Microsoft Defender Antivirus,Real-time Protection: Turn off real-time protection,Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableRealtimeMonitoring,,,,0,0,=,Medium
11015,Microsoft Defender Antivirus,Real-time Protection: Turn on behavior monitoring (Policy),Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableBehaviorMonitoring,,,,0,0,=,Medium
11031,Microsoft Defender Antivirus,Real-time Protection: Turn on script scanning,Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableScriptScanning,,,,0,0,=,Medium
11032,Microsoft Defender Exploit Guard,ASR: Block abuse of exploited vulnerable signed drivers (Policy),Registry,,HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules,56a863a9-875e-4185-98a7-b882c64b5ce5,,,,0,1,=,Medium
11034,Administrative Templates: Windows Components,Windows Logon Options: Enable MPR notifications for the system,Registry,,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System,EnableMPR,,,,,0,=,Medium
11040,Administrative Templates: Windows Components,Windows Defender SmartScreen: Enhanced Phishing Protection,Registry,,HKLM:\Software\Policies\Microsoft\Windows\WTDS\Components,NotifyMalicious,,,,,1,=,Medium
11041,Administrative Templates: Windows Components,Windows Defender SmartScreen: Notify Password Reuse,Registry,,HKLM:\Software\Policies\Microsoft\Windows\WTDS\Components,NotifyPasswordReuse,,,,,1,=,Medium
11042,Administrative Templates: Windows Components,Windows Defender SmartScreen: Notify Unsafe App,Registry,,HKLM:\Software\Policies\Microsoft\Windows\WTDS\Components,NotifyUnsafeApp,,,,,1,=,Medium
11043,Administrative Templates: Windows Components,Windows Defender SmartScreen: Service Enabled,Registry,,HKLM:\Software\Policies\Microsoft\Windows\WTDS\Components,ServiceEnabled,,,,,1,=,Medium
11050,System Services,Xbox Accessory Management Service (XboxGipSvc),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\XboxGipSvc,Start,,,,3,4,=,Medium
11052,System Services,Xbox Live Auth Manager (XblAuthManager),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\XblAuthManager,Start,,,,3,4,=,Medium
11054,System Services,Xbox Live Game Save (XblGameSave),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\XblGameSave,Start,,,,3,4,=,Medium
11056,System Services,Xbox Live Networking Service (XboxNetApiSvc),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\XboxNetApiSvc,Start,,,,3,4,=,Medium
114,Administrative Templates: Windows Components,Cloud Content: Configure Windows spotlight on lock screen,Registry,,HKCU:\Software\Policies\Microsoft\Windows\CloudContent,ConfigureWindowsSpotlight,,,,,2,=,Medium
115,Administrative Templates: Windows Components,File Explorer: Turn off Data Execution Prevention for Explorer,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\Explorer,NoDataExecutionPrevention,,,,0,0,=,Medium
116,Administrative Templates: Windows Components,File Explorer: Turn off shell protocol protected mode,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer,PreXPSP2ShellProtocolBehavior,,,,0,0,=,Medium
117,Administrative Templates: Windows Components,File Explorer: Turn off heap termination on corruption,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\Explorer,NoHeapTerminationOnCorruption,,,,0,0,=,Medium
118,Administrative Templates: Windows Components,Data Collection and Preview Builds: Toggle user control over Insider builds,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\PreviewBuilds,AllowBuildPreview,,,,1,0,=,Medium
119,Administrative Templates: Windows Components,Data Collection and Preview Builds: Do not show feedback notifications,Registry,,HKLM:\Software\Policies\Microsoft\Windows\DataCollection,DoNotShowFeedbackNotifications,,,,0,1,=,Medium
122,Administrative Templates: Windows Components,Data Collection and Preview Builds: Configure Authenticated Proxy usage for the Connected User Experience and Telemetry service,Registry,,HKLM:\Software\Policies\Microsoft\Windows\DataCollection,DisableEnterpriseAuthProxy,,,,0,1,=,Medium
123,Administrative Templates: Windows Components,Camera: Allow Use of Camera,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Camera,AllowCamera,,,,1,0,=,Medium
124,Administrative Templates: Windows Components,Microsoft account: Block all consumer Microsoft account user authentication,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\MicrosoftAccount,DisableUserAuth,,,,,1,=,Medium
125,Administrative Templates: Windows Components,Messaging: Allow Message Service Cloud Sync,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\Messaging,AllowMessageSync,,,,1,0,=,Medium
126,Administrative Templates: Windows Components,Network Sharing: Prevent users from sharing files within their profile,Registry,,HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,NoInplaceSharing,,,,0,1,=,Medium
128,Administrative Templates: Windows Components,Location and Sensors: Turn off location,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\LocationAndSensors,DisableLocation,,,,0,1,=,Medium
129,Administrative Templates: Windows Components,Push To Install: Turn off Push To Install service,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\PushToInstall,DisablePushToInstall,,,,,1,=,Medium
13,MSS (Legacy),MSS: (KeepAliveTime) How often keep-alive packets are sent in milliseconds,Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters,KeepAliveTime,,,,7200000,300000,<=,Medium
130,Administrative Templates: Windows Components,Remote Desktop Session Host: Device and Resource Redirection: Do not allow COM port redirection,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,fDisableCcm,,,,0,1,=,Medium
1300,Security Options,Accounts: Block Microsoft accounts,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,NoConnectedUser,,,,0,3,=,Low
1302,Security Options,Interactive logon: Do not require CTRL+ALT+DEL,Registry,,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System,DisableCAD,,,,1,0,=,Low
1303,Security Options,Interactive logon: Don't display last signed-in,Registry,,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System,DontDisplayLastUserName,,,,0,1,=,Low
1304,Security Options,Interactive logon: Don't display username at sign-in,Registry,,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System,DontDisplayUserName,,,,0,1,=,Low
1306,Security Options,Microsoft network client: Digitally sign communications (if server agrees),Registry,,HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters,EnableSecuritySignature,,,,1,1,=,Medium
1308,Security Options,Microsoft network server: Digitally sign communications (if client agrees),Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,EnableSecuritySignature,,,,0,1,=,Medium
1311,Security Options,Network access: Do not allow storage of passwords and credentials for network authentication,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,DisableDomainCreds,,,,0,1,=,Medium
1317,Security Options,Network security: Restrict NTLM: Audit Incoming NTLM Traffic,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0,AuditReceivingNTLMTraffic,,,,0,2,=,Medium
1318,Security Options,Network security: Restrict NTLM: Audit NTLM authentication in this domain,Registry,,HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters,AuditNTLMInDomain,,,,0,7,=,Medium
1319,Security Options,Network security: Restrict NTLM: Outgoing NTLM traffic to remote servers,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0,RestrictSendingNTLMTraffic,,,,0,1,=,Medium
132,Administrative Templates: Windows Components,Remote Desktop Session Host: Device and Resource Redirection: Do not allow LPT port redirection,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,fDisableLPT,,,,0,1,=,Medium
1320,Security Options,Shutdown: Allow system to be shut down without having to log on,Registry,,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System,ShutdownWithoutLogon,,,,1,0,=,Medium
133,Administrative Templates: Windows Components,Remote Desktop Session Host: Device and Resource Redirection: Do not allow supported Plug and Play device redirection,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,fDisablePNPRedir,,,,0,1,=,Medium
135,Administrative Templates: Windows Components,Remote Desktop Session Host: Security: Require user authentication for remote connections by using Network Level Authentication,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,UserAuthentication,,,,0,1,=,Medium
138,Administrative Templates: Windows Components,Remote Desktop Session Host: Security: Require use of specific security layer for remote (RDP) connections,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,SecurityLayer,,,,0,2,=,Medium
139,Administrative Templates: Windows Components,Remote Desktop Session Host: Session Time Limits: End session when time limits are reached,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,fResetBroken,,,,,1,=,Medium
140,Administrative Templates: Windows Components,Remote Desktop Session Host: Session Time Limits: Set time limit for active but idle Remote Desktop Services sessions,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,MaxIdleTime,,,,0,900000,<=,Medium
141,Administrative Templates: Windows Components,Remote Desktop Session Host: Session Time Limits: Set time limit for disconnected sessions,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,MaxDisconnectionTime,,,,0,60000,=,Medium
1418,Windows Firewall,EnableFirewall (Domain Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile,EnableFirewall,,,,1,1,=,Medium
1419,Windows Firewall,Inbound Connections (Domain Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile,DefaultInboundAction,,,,1,1,=,Medium
142,Administrative Templates: Windows Components,Remote Desktop Session Host: Temporary folders: Do not use temporary folders per session,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,PerSessionTempDir,,,,1,1,=,Medium
1420,Windows Firewall,Outbound Connections (Domain Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile,DefaultOutboundAction,,,,0,0,=,Medium
1421,Windows Firewall,Log size limit (Domain Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\Logging,LogFileSize,,,,4096,16384,>=,Medium
1422,Windows Firewall,Log dropped packets (Domain Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\Logging,LogDroppedPackets,,,,0,1,=,Medium
1423,Windows Firewall,Log successful connections (Domain Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\Logging,LogSuccessfulConnections,,,,0,1,=,Low
1424,Windows Firewall,EnableFirewall (Private Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile,EnableFirewall,,,,1,1,=,Medium
1425,Windows Firewall,Inbound Connections (Private Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile,DefaultInboundAction,,,,1,1,=,Medium
1426,Windows Firewall,Outbound Connections (Private Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile,DefaultOutboundAction,,,,0,0,=,Medium
1427,Windows Firewall,Log size limit (Private Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile\Logging,LogFileSize,,,,4096,16384,>=,Medium
1428,Windows Firewall,Log dropped packets (Private Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile\Logging,LogDroppedPackets,,,,0,1,=,Medium
1429,Windows Firewall,Log successful connections (Private Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile\Logging,LogSuccessfulConnections,,,,0,1,=,Low
143,Administrative Templates: Windows Components,Remote Desktop Session Host: Temporary folders: Do not delete temp folders upon exit,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,DeleteTempDirsOnExit,,,,1,1,=,Medium
1430,Windows Firewall,EnableFirewall (Public Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile,EnableFirewall,,,,1,1,=,Medium
1431,Windows Firewall,Inbound Connections (Public Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile,DefaultInboundAction,,,,1,1,=,Medium
1432,Windows Firewall,Outbound Connections (Public Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile,DefaultOutboundAction,,,,0,0,=,Medium
1433,Windows Firewall,Log size limit (Public Profile),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile\Logging,LogFileSize,,,,4096,16384,>=,Medium
